street,city,beds,baths,sq__ft,type,price
2848 PROVO WAY,SACRAMENTO,3,2,1646,Residential,150000
6045 EHRHARDT AVE,SACRAMENTO,3,2,1676,Residential,155000
1223 LAMBERTON CIR,SACRAMENTO,3,2,1370,Residential,155435
1223 LAMBERTON CIR,SACRAMENTO,3,2,1370,Residential,155500
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,4,2,1351,Residential,158000
7204 THOMAS DR,NORTH HIGHLANDS,3,2,1152,Residential,158000
8363 LANGTREE WAY,SACRAMENTO,3,2,1452,Residential,160000
1675 VERNON ST Unit 8,ROSEVILLE,2,1,990,Residential,160000
6632 IBEX WOODS CT,CITRUS HEIGHTS,2,2,1162,Residential,164000
117 EVCAR WAY,RIO LINDA,3,2,1182,Residential,164000
6485 LAGUNA MIRAGE LN,ELK GROVE,2,2,1112,Residential,165000
746 MOOSE CREEK WAY,GALT,3,2,1100,Residential,167000
8306 CURLEW CT,CITRUS HEIGHTS,4,2,1280,Residential,167293
8306 CURLEW CT,CITRUS HEIGHTS,4,2,1280,Residential,167293
5217 ARGO WAY,SACRAMENTO,3,1,1039,Residential,168000
7108 HEATHER TREE DR,SACRAMENTO,3,2,1159,Residential,170000
2956 DAVENPORT WAY,SACRAMENTO,4,2,1917,Residential,170000
10062 LINCOLN VILLAGE DR,SACRAMENTO,3,2,1520,Residential,170000
332 PALIN AVE,GALT,3,2,1204,Residential,174000
4649 FREEWAY CIR,SACRAMENTO,3,2,1120,Residential,178000
8593 DERLIN WAY,SACRAMENTO,3,2,1436,Residential,180000
9273 PREMIER WAY,SACRAMENTO,3,2,1451,Residential,180000
8032 DUSENBERG CT,SACRAMENTO,4,2,1638,Residential,180000
7110 STELLA LN Unit 15,CARMICHAEL,2,2,1000,Condo,182000
1786 PIEDMONT WAY,ROSEVILLE,3,1,1152,Residential,188325
1347 HIDALGO CIR,ROSEVILLE,3,2,1154,Residential,191500
212 CAPPUCINO WAY,SACRAMENTO,3,2,1353,Residential,192000
5938 WOODBRIAR WAY,CITRUS HEIGHTS,3,2,1329,Residential,192700
3801 WILDROSE WAY,SACRAMENTO,3,1,1356,Residential,195000
508 SAMUEL WAY,SACRAMENTO,3,2,1505,Residential,197654
6128 CARL SANDBURG CIR,SACRAMENTO,3,1,1009,Residential,198000
1 KENNELFORD CIR,SACRAMENTO,3,2,1144,Residential,200345
909 SINGINGWOOD RD,SACRAMENTO,2,1,930,Residential,203000
6671 FOXWOOD CT,SACRAMENTO,4,2,1766,Residential,207000
8165 AYN RAND CT,SACRAMENTO,4,3,1940,Residential,208000
9474 VILLAGE TREE DR,ELK GROVE,4,2,1776,Residential,210000
7213 CALVIN DR,CITRUS HEIGHTS,3,1,1258,Residential,212000
8167 DERBY PARK CT,SACRAMENTO,4,2,1872,Residential,213675
6344 LAGUNA MIRAGE LN,ELK GROVE,2,2,1112,Residential,213697
2945 RED HAWK WAY,SACRAMENTO,4,2,1856,Residential,215000
3228 I ST,SACRAMENTO,4,3,1939,Residential,215000
308 ATKINSON ST,ROSEVILLE,3,1,998,Residential,215100
624 HOVEY WAY,ROSEVILLE,3,2,1758,Residential,217500
110 COPPER LEAF WAY,SACRAMENTO,3,2,2142,Residential,218000
7535 ALMA VISTA WAY,SACRAMENTO,2,1,950,Residential,220000
7423 WILSALL CT,ELK GROVE,4,3,1739,Residential,221000
8629 VIA ALTA WAY,ELK GROVE,3,2,1516,Residential,222900
3318 DAVIDSON DR,ANTELOPE,3,1,988,Residential,223139
913 COBDEN CT,GALT,4,2,1555,Residential,225500
4419 79TH ST,SACRAMENTO,3,2,1212,Residential,228327
3012 SPOONWOOD WAY,SACRAMENTO,4,2,1871,Residential,230000
8728 CRYSTAL RIVER WAY,SACRAMENTO,3,2,1302,Residential,230000
4709 AMBER LN Unit 1,SACRAMENTO,2,1,756,Condo,230522
4508 OLD DAIRY DR,ANTELOPE,4,3,2026,Residential,231200
312 RIVER ISLE WAY,SACRAMENTO,3,2,1375,Residential,232000
301 OLIVADI WAY,SACRAMENTO,2,2,1250,Condo,232500
5636 25TH ST,SACRAMENTO,3,1,1058,Residential,233641
8721 SPRUCE RIDGE WAY,ANTELOPE,3,2,1187,Residential,234000
7461 WINDBRIDGE DR,SACRAMENTO,2,2,1324,Residential,234500
8101 LEMON COVE CT,SACRAMENTO,4,3,1936,Residential,235000
10949 SCOTSMAN WAY,RANCHO CORDOVA,5,4,2382,Multi-Family,236000
617 WILLOW CREEK DR,FOLSOM,3,2,1427,Residential,236073
3301 PARK DR Unit 1914,SACRAMENTO,3,2,1678,Condo,238000
709 CIMMARON CT,GALT,4,2,1798,Residential,238861
3305 RIO ROCA CT,ANTELOPE,4,3,2652,Residential,239700
9080 BEDROCK CT,SACRAMENTO,4,2,1816,Residential,240000
100 TOURMALINE CIR,SACRAMENTO,5,3,3076,Residential,240000
6411 RED BIRCH WAY,ELK GROVE,4,2,1844,Residential,241000
4867 LAGUNA DR,SACRAMENTO,3,2,1306,Residential,245000
3662 RIVER DR,SACRAMENTO,4,3,2447,Residential,246000
6943 WOLFGRAM WAY,SACRAMENTO,4,2,1176,Residential,247234
77 RINETTI WAY,RIO LINDA,4,2,1182,Residential,247480
1316 I ST,RIO LINDA,3,1,1160,Residential,249862
2130 CATHERWOOD WAY,SACRAMENTO,3,2,1424,Residential,251000
8304 JUGLANS DR,ORANGEVALE,4,2,1574,Residential,252155
5308 MARBURY WAY,ANTELOPE,3,2,1830,Residential,254172
9182 LAKEMONT DR,ELK GROVE,4,2,1724,Residential,258000
2231 COUNTRY VILLA CT,AUBURN,2,2,1255,Condo,260000
8491 CRYSTAL WALK CIR,ELK GROVE,0,0,0,Residential,261000
361 MAHONIA CIR,SACRAMENTO,4,3,2175,Residential,261000
3427 LA CADENA WAY,SACRAMENTO,4,2,1904,Residential,261000
955 BIG SUR CT,EL DORADO HILLS,4,2,1808,Residential,262500
11826 DIONYSUS WAY,RANCHO CORDOVA,4,2,2711,Residential,266000
5847 DEL CAMPO LN,CARMICHAEL,3,1,1713,Residential,266000
5635 FOXVIEW WAY,ELK GROVE,3,2,1457,Residential,270000
10372 VIA CINTA CT,ELK GROVE,4,3,2724,Residential,274425
6286 LONETREE BLVD,ROCKLIN,0,0,0,Residential,274500
7744 SOUTHBREEZE DR,SACRAMENTO,3,2,1468,Residential,275336
2242 ABLE WAY,SACRAMENTO,4,3,2550,Residential,277980
1042 STARBROOK DR,GALT,4,2,1928,Residential,280000
1219 G ST,SACRAMENTO,3,3,1922,Residential,284686
6220 OPUS CT,CITRUS HEIGHTS,3,2,1343,Residential,284893
5419 HAVENHURST CIR,ROCKLIN,3,2,1510,Residential,285000
220 OLD AIRPORT RD,AUBURN,2,2,960,Multi-Family,285000
4622 MEYER WAY,CARMICHAEL,4,2,1559,Residential,285000
4885 SUMMIT VIEW DR,EL DORADO,3,2,1624,Residential,289000
26 JEANROSS CT,SACRAMENTO,5,3,2992,Residential,295000
4800 MAPLEPLAIN AVE,ELK GROVE,4,2,2109,Residential,296000
10629 BASIE WAY,RANCHO CORDOVA,4,2,1524,Residential,296056
8612 WILLOW GROVE WAY,SACRAMENTO,3,2,1248,Residential,297359
62 DE FER CIR,SACRAMENTO,4,2,1876,Residential,299940
2513 OLD KENMARE RD,LINCOLN,5,3,0,Residential,304000
3253 ABOTO WAY,RANCHO CORDOVA,4,3,1851,Residential,305000
3072 VILLAGE PLAZA DR,ROSEVILLE,0,0,0,Residential,307000
251 CHANGO CIR,SACRAMENTO,4,2,2218,Residential,311328
8205 WEYBURN CT,SACRAMENTO,3,2,1394,Residential,313138
8788 LA MARGARITA WAY,SACRAMENTO,3,2,1410,Residential,316630
5912 DEEPDALE WAY,ELK GROVE,5,3,3468,Residential,320000
4712 PISMO BEACH DR,ANTELOPE,5,3,2346,Residential,320000
4741 PACIFIC PARK DR,ANTELOPE,5,3,2347,Residential,325000
310 GROTH CIR,SACRAMENTO,4,2,1659,Residential,328578
6121 WILD FOX CT,ELK GROVE,3,3,2442,Residential,331000
12241 CANYONLANDS DR,RANCHO CORDOVA,0,0,0,Residential,331500
29 COOL FOUNTAIN CT,SACRAMENTO,4,2,2155,Residential,340000
907 RIO ROBLES AVE,SACRAMENTO,0,0,0,Residential,344755
8909 BILLFISH WAY,SACRAMENTO,3,2,1810,Residential,345746
6232 GUS WAY,ELK GROVE,4,2,2789,Residential,351000
200 OAKWILDE ST,GALT,4,2,1606,Residential,353767
1033 PARK STREAM DR,GALT,0,0,0,Residential,355000
200 ALLAIRE CIR,SACRAMENTO,4,2,2166,Residential,356035
1322 SUTTER WALK,SACRAMENTO,0,0,0,Condo,360000
5479 NICKMAN WAY,SACRAMENTO,4,2,1871,Residential,360552
2103 BURBERRY WAY,SACRAMENTO,3,2,1800,Residential,362305
2450 SAN JOSE WAY,SACRAMENTO,3,1,1683,Residential,365000
7641 ROSEHALL DR,ROSEVILLE,3,2,0,Residential,367554
1336 LAYSAN TEAL DR,ROSEVILLE,0,0,0,Residential,368500
2802 BLACK OAK DR,ROCKLIN,2,2,1596,Residential,370000
2113 FALL TRAIL CT,PLACERVILLE,4,2,0,Residential,371086
10112 LAMBEAU CT,ELK GROVE,3,2,1179,Residential,378000
6313 CASTRO VERDE WAY,ELK GROVE,0,0,0,Residential,383000
3622 CURTIS DR,SACRAMENTO,3,1,1639,Residential,388000
11817 OPAL RIDGE WAY,RANCHO CORDOVA,5,3,3281,Residential,395100
170 LAGOMARSINO WAY,SACRAMENTO,3,2,1697,Residential,400000
2743 DEAKIN PL,EL DORADO HILLS,3,2,0,Residential,400000
3361 ALDER CANYON WAY,ANTELOPE,4,3,2085,Residential,408431
2148 RANCH VIEW DR,ROCKLIN,0,0,0,Residential,413000
398 LINDLEY DR,SACRAMENTO,4,2,1744,Multi-Family,416767
3013 BRIDLEWOOD DR,EL DORADO HILLS,4,3,0,Residential,420000
169 BAURER CIR,FOLSOM,4,3,1939,Residential,423000
2809 LOON CT,CAMERON PARK,4,2,0,Residential,423000
1315 KONDOS AVE,SACRAMENTO,2,3,1788,Residential,427500
4966 CHARTER RD,ROCKLIN,3,2,1691,Residential,430922
9516 LAGUNA LAKE WAY,ELK GROVE,4,2,2002,Residential,445000
5201 BLOSSOM RANCH DR,ELK GROVE,4,4,4303,Residential,450000
3027 PALMATE WAY,SACRAMENTO,5,3,4246,Residential,452000
500 WINCHESTER CT,ROSEVILLE,3,2,2274,Residential,470000
5746 GELSTON WAY,EL DORADO HILLS,4,3,0,Residential,471000
6935 ELM TREE LN,ORANGEVALE,4,4,3056,Residential,475000
9605 GOLF COURSE LN,ELK GROVE,3,3,2503,Residential,484500
719 BAYWOOD CT,EL DORADO HILLS,5,3,0,Residential,487500
5954 TANUS CIR,ROCKLIN,3,3,0,Residential,488750
100 CHELSEA CT,FOLSOM,3,2,1905,Residential,500000
1500 ORANGE HILL LN,PENRYN,3,2,1320,Residential,506688
408 KIRKWOOD CT,LINCOLN,2,2,0,Residential,512000
1732 TUSCAN GROVE CIR,ROSEVILLE,5,3,0,Residential,520000
2049 EMPIRE MINE CIR,GOLD RIVER,4,2,3037,Residential,528000
9360 MAGOS RD,WILTON,5,2,3741,Residential,579093
104 CATLIN CT,FOLSOM,4,3,2660,Residential,636000
4734 GIBBONS DR,CARMICHAEL,4,3,3357,Residential,668365
4629 DORCHESTER LN,GRANITE BAY,5,3,2896,Residential,676200
2400 COUNTRYSIDE DR,PLACERVILLE,3,2,2025,Residential,677048
12901 FURLONG DR,WILTON,5,3,3788,Residential,691659
6222 CALLE MONTALVO CIR,GRANITE BAY,5,3,3670,Residential,760000
20 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
24 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
28 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
32 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
36 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
40 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
44 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
48 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
52 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
68 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
72 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
76 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
80 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
84 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
88 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
92 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
96 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
100 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
434 1ST ST,LINCOLN,0,0,0,Residential,4897
3 E ST,LINCOLN,0,0,0,Residential,4897
11 E ST,LINCOLN,0,0,0,Residential,4897
19 E ST,LINCOLN,0,0,0,Residential,4897
27 E ST,LINCOLN,0,0,0,Residential,4897
35 E ST,LINCOLN,0,0,0,Residential,4897
43 E ST,LINCOLN,0,0,0,Residential,4897
51 E ST,LINCOLN,4,2,0,Residential,4897
59 E ST,LINCOLN,3,2,0,Residential,4897
75 E ST,LINCOLN,3,2,0,Residential,4897
63 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
398 1ST ST,LINCOLN,0,0,0,Residential,4897
386 1ST ST,LINCOLN,0,0,0,Residential,4897
374 1ST ST,LINCOLN,0,0,0,Residential,4897
116 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897
108 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897
100 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897
55 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
51 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
47 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
43 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
39 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
35 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
31 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
27 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
23 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
19 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
15 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
7 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
7 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
3 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897
8208 WOODYARD WAY,CITRUS HEIGHTS,3,2,1166,Residential,30000
113 RINETTI WAY,RIO LINDA,0,0,0,Residential,30000
15 LOORZ CT,SACRAMENTO,2,1,838,Residential,55422
5805 DOTMAR WAY,NORTH HIGHLANDS,2,1,904,Residential,63000
2332 CAMBRIDGE ST,SACRAMENTO,2,1,1032,Residential,65000
3812 BELDEN ST,SACRAMENTO,2,1,904,Residential,65000
3348 40TH ST,SACRAMENTO,2,1,1080,Residential,65000
127 QUASAR CIR,SACRAMENTO,2,2,990,Residential,66500
3812 CYPRESS ST,SACRAMENTO,2,1,900,Residential,71000
5821 64TH ST,SACRAMENTO,2,1,861,Residential,75000
8248 CENTER PKWY,SACRAMENTO,2,1,906,Condo,77000
1171 SONOMA AVE,SACRAMENTO,2,1,1011,Residential,85000
4250 ARDWELL WAY,SACRAMENTO,3,2,1089,Residential,95625
3104 CLAY ST,SACRAMENTO,2,1,832,Residential,96140
6063 LAND PARK DR,SACRAMENTO,2,1,800,Condo,104250
4738 OAKHOLLOW DR,SACRAMENTO,4,2,1292,Residential,105000
1401 STERLING ST,SACRAMENTO,2,1,810,Residential,108000
3715 DIDCOT CIR,SACRAMENTO,4,2,1064,Residential,109000
2426 RASHAWN DR,RANCHO CORDOVA,2,1,911,Residential,115000
4800 WESTLAKE PKWY Unit 410,SACRAMENTO,1,1,846,Condo,115000
3409 VIRGO ST,SACRAMENTO,3,2,1320,Residential,115500
1110 PINEDALE AVE,SACRAMENTO,3,2,1410,Residential,115620
2361 LA LOMA DR,RANCHO CORDOVA,3,2,1115,Residential,116000
1455 64TH AVE,SACRAMENTO,3,2,1169,Residential,122000
7328 SPRINGMAN ST,SACRAMENTO,3,2,1164,Residential,122500
119 SAINT MARIE CIR,SACRAMENTO,4,2,1341,Residential,123000
12 COSTA BRASE CT,SACRAMENTO,3,2,1219,Residential,124000
6813 SCOTER WAY,SACRAMENTO,4,2,1127,Residential,124000
6548 GRAYLOCK LN,NORTH HIGHLANDS,3,2,1272,Residential,124413
1630 GLIDDEN AVE,SACRAMENTO,4,2,1253,Residential,125000
7825 DALEWOODS WAY,SACRAMENTO,3,2,1120,Residential,130000
4073 TRESLER AVE,NORTH HIGHLANDS,2,2,1118,Residential,131750
4288 DYMIC WAY,SACRAMENTO,4,3,1890,Residential,137721
1158 SAN IGNACIO WAY,SACRAMENTO,3,2,1260,Residential,137760
4904 J PKWY,SACRAMENTO,3,2,1400,Residential,138000
2931 HOWE AVE,SACRAMENTO,3,1,1264,Residential,140000
5531 JANSEN DR,SACRAMENTO,3,1,1060,Residential,145000
7836 ORCHARD WOODS CIR,SACRAMENTO,2,2,1132,Residential,145000
4055 DEERBROOK DR,SACRAMENTO,3,2,1466,Residential,150000
9937 BURLINE ST,SACRAMENTO,3,2,1092,Residential,150000
6948 MIRADOR WAY,SACRAMENTO,4,2,1628,Residential,151000
4909 RUGER CT,SACRAMENTO,3,2,960,Residential,155000
7204 KERSTEN ST,CITRUS HEIGHTS,3,2,1075,Residential,155800
3150 ROSEMONT DR,SACRAMENTO,3,2,1428,Residential,156142
8200 STEINBECK WAY,SACRAMENTO,4,2,1358,Residential,158000
8198 STEVENSON AVE,SACRAMENTO,6,4,2475,Multi-Family,159900
6824 OLIVE TREE WAY,CITRUS HEIGHTS,3,2,1410,Residential,160000
3536 SUN MAIDEN WAY,ANTELOPE,3,2,1711,Residential,161500
4517 OLYMPIAD WAY,SACRAMENTO,4,2,1483,Residential,161600
925 COBDEN CT,GALT,3,2,1140,Residential,162000
8225 SCOTTSDALE DR,SACRAMENTO,4,2,1549,Residential,165000
8758 LEMAS RD,SACRAMENTO,3,2,1410,Residential,165000
6121 ALPINESPRING WAY,ELK GROVE,3,2,1240,Residential,167293
5937 YORK GLEN WAY,SACRAMENTO,5,2,1712,Residential,168000
6417 SUNNYFIELD WAY,SACRAMENTO,4,2,1580,Residential,168000
4008 GREY LIVERY WAY,ANTELOPE,3,2,1669,Residential,168750
8920 ROSETTA CIR,SACRAMENTO,3,1,1029,Residential,168750
8300 LICHEN DR,CITRUS HEIGHTS,3,1,1103,Residential,170000
8884 AMBERJACK WAY,SACRAMENTO,3,2,2161,Residential,170250
4480 VALLEY HI DR,SACRAMENTO,3,2,1650,Residential,173000
2250 FOREBAY RD,POLLOCK PINES,3,1,1320,Residential,175000
3529 FABERGE WAY,SACRAMENTO,3,2,1200,Residential,176095
1792 DAWNELLE WAY,SACRAMENTO,3,2,1170,Residential,176250
7800 TABARE CT,CITRUS HEIGHTS,3,2,1199,Residential,178000
8531 HERMITAGE WAY,SACRAMENTO,4,2,1695,Residential,179000
2421 BERRYWOOD DR,RANCHO CORDOVA,3,2,1157,Residential,180000
1005 MORENO WAY,SACRAMENTO,3,2,1410,Residential,180000
1675 VERNON ST Unit 24,ROSEVILLE,3,2,1174,Residential,180000
24 WINDCHIME CT,SACRAMENTO,3,2,1593,Residential,181000
540 HARLING CT,RIO LINDA,3,2,1093,Residential,182000
1207 CRESCENDO DR,ROSEVILLE,3,2,1770,Residential,182587
7577 EDDYLEE WAY,SACRAMENTO,4,2,1436,Residential,185074
8369 FOPPIANO WAY,SACRAMENTO,3,2,1124,Residential,185833
8817 SAWTELLE WAY,SACRAMENTO,4,2,1139,Residential,186785
1910 BONAVISTA WAY,SACRAMENTO,3,2,1638,Residential,187000
8 TIDE CT,SACRAMENTO,3,2,1328,Residential,188335
8952 ROCKY CREEK CT,ELK GROVE,3,2,1273,Residential,190000
435 EXCHANGE ST,SACRAMENTO,3,1,1082,Residential,190000
10105 MONTE VALLO CT,SACRAMENTO,4,2,1578,Residential,190000
3930 ANNABELLE AVE,ROSEVILLE,2,1,796,Residential,190000
4854 TANGERINE AVE,SACRAMENTO,3,2,1386,Residential,191250
2909 SHAWN WAY,RANCHO CORDOVA,3,2,1452,Residential,193000
4290 BLACKFORD WAY,SACRAMENTO,3,2,1513,Residential,193500
5890 TT TRAK,FORESTHILL,0,0,0,Residential,194818
7015 WOODSIDE DR,SACRAMENTO,4,2,1578,Residential,195000
6019 CHESHIRE WAY,CITRUS HEIGHTS,4,3,1736,Residential,195000
3330 VILLAGE CT,CAMERON PARK,2,2,0,Residential,195000
2561 VERNA WAY,SACRAMENTO,3,1,1473,Residential,195000
3522 22ND AVE,SACRAMENTO,3,1,1150,Residential,198000
2880 CANDIDO DR,SACRAMENTO,3,2,1127,Residential,199900
6908 PIN OAK CT,FAIR OAKS,3,1,1144,Residential,200000
5733 ANGELINA AVE,CARMICHAEL,3,1,972,Residential,201000
7849 BONNY DOWNS WAY,ELK GROVE,4,2,2306,Residential,204918
8716 LONGSPUR WAY,ANTELOPE,3,2,1479,Residential,205000
6320 EL DORADO ST,EL DORADO,2,1,1040,Residential,205000
2328 DOROTHY JUNE WAY,SACRAMENTO,3,2,1430,Residential,205878
1986 DANVERS WAY,SACRAMENTO,4,2,1800,Residential,207000
7901 GAZELLE TRAIL WAY,ANTELOPE,4,2,1953,Residential,207744
6080 BRIDGECROSS DR,SACRAMENTO,3,2,1120,Residential,209000
20 GROTH CIR,SACRAMENTO,3,2,1232,Residential,210000
1900 DANBROOK DR,SACRAMENTO,1,1,984,Condo,210944
140 VENTO CT,ROSEVILLE,3,2,0,Condo,212500
8442 KEUSMAN ST,ELK GROVE,4,2,2329,Residential,213750
9552 SUNLIGHT LN,ELK GROVE,3,2,1351,Residential,215000
2733 YUMA CT,CAMERON PARK,2,2,0,Residential,215000
1407 TIFFANY CIR,ROSEVILLE,4,1,1376,Residential,215000
636 CRESTVIEW DR,DIAMOND SPRINGS,3,2,1300,Residential,216033
1528 HESKET WAY,SACRAMENTO,4,2,1566,Residential,220000
2327 32ND ST,SACRAMENTO,2,1,1115,Residential,220000
1833 2ND AVE,SACRAMENTO,2,1,1032,Residential,220000
7252 CARRIAGE DR,CITRUS HEIGHTS,4,2,1419,Residential,220000
9815 PASO FINO WAY,ELK GROVE,3,2,1261,Residential,220000
5532 ENGLE RD,CARMICHAEL,2,2,1637,Residential,220702
1139 CLINTON RD,SACRAMENTO,4,2,1776,Multi-Family,221250
9176 SAGE GLEN WAY,ELK GROVE,3,2,1338,Residential,222000
9967 HATHERTON WAY,ELK GROVE,0,0,0,Residential,222500
9264 BOULDER RIVER WAY,ELK GROVE,5,2,2254,Residential,222750
320 GROTH CIR,SACRAMENTO,3,2,1441,Residential,225000
137 GUNNISON AVE,SACRAMENTO,4,2,1991,Residential,225000
8209 RIVALLO WAY,SACRAMENTO,4,3,2126,Residential,228750
8637 PERIWINKLE CIR,ELK GROVE,3,2,1094,Residential,229000
3425 MEADOW WAY,ROCKLIN,3,2,1462,Residential,230095
107 JARVIS CIR,SACRAMENTO,5,3,2258,Residential,232500
2319 THORES ST,RANCHO CORDOVA,3,2,1074,Residential,233000
8935 MOUNTAIN HOME CT,ELK GROVE,4,2,2111,Residential,233500
2566 SERENATA WAY,SACRAMENTO,3,2,1686,Residential,239000
4085 COUNTRY DR,ANTELOPE,4,3,1915,Residential,240000
9297 TROUT WAY,ELK GROVE,4,2,2367,Residential,240000
7 ARCHIBALD CT,SACRAMENTO,3,2,1962,Residential,240971
11130 EEL RIVER CT,RANCHO CORDOVA,2,2,1406,Residential,242000
8323 REDBANK WAY,SACRAMENTO,3,2,1789,Residential,243450
16 BRONCO CREEK CT,SACRAMENTO,4,2,1876,Residential,243500
8316 NORTHAM DR,ANTELOPE,3,2,1235,Residential,246544
4240 WINJE DR,ANTELOPE,4,2,2504,Residential,246750
3569 SODA WAY,SACRAMENTO,0,0,0,Residential,247000
5118 ROBANDER ST,CARMICHAEL,3,2,1676,Residential,247000
5976 KYLENCH CT,CITRUS HEIGHTS,3,2,1367,Residential,249000
9247 DELAIR WAY,ELK GROVE,4,3,1899,Residential,249000
9054 DESCENDANT DR,ELK GROVE,3,2,1636,Residential,250000
3450 WHITNOR CT,SACRAMENTO,3,2,1828,Residential,250000
6288 LONETREE BLVD,ROCKLIN,0,0,0,Residential,250000
9355 MATADOR WAY,SACRAMENTO,4,2,1438,Residential,252000
8671 SUMMER SUN WAY,ELK GROVE,3,2,1451,Residential,255000
1890 GENEVA PL,SACRAMENTO,3,1,1520,Residential,255000
1813 AVENIDA MARTINA,ROSEVILLE,3,2,1506,Residential,255000
191 BARNHART CIR,SACRAMENTO,4,2,2605,Residential,257200
6221 GREEN TOP WAY,ORANGEVALE,3,2,1196,Residential,260000
2298 PRIMROSE LN,LINCOLN,3,2,1621,Residential,260000
5635 LOS PUEBLOS WAY,SACRAMENTO,3,2,1811,Residential,263500
10165 LOFTON WAY,ELK GROVE,3,2,1540,Residential,266510
1251 GREEN RAVINE DR,LINCOLN,4,2,0,Residential,267750
6001 SHOO FLY RD,PLACERVILLE,0,0,0,Residential,270000
3040 PARKHAM DR,ROSEVILLE,0,0,0,Residential,271000
2674 TAM O SHANTER DR,EL DORADO HILLS,4,2,0,Residential,272700
6007 MARYBELLE LN,SHINGLE SPRINGS,0,0,0,Unkown,275000
9949 NESTLING CIR,ELK GROVE,3,2,1543,Residential,275000
2915 HOLDREGE WAY,SACRAMENTO,5,3,2494,Residential,276000
2678 BRIARTON DR,LINCOLN,3,2,1650,Residential,276500
294 SPARROW DR,GALT,4,3,2214,Residential,278000
2987 DIORITE WAY,SACRAMENTO,5,3,2280,Residential,279000
6326 APPIAN WAY,CARMICHAEL,3,2,1443,Residential,280000
6905 COBALT WAY,CITRUS HEIGHTS,4,2,1582,Residential,280000
8986 HAFLINGER WAY,ELK GROVE,3,2,1857,Residential,285000
2916 BABSON DR,ELK GROVE,3,2,1735,Residential,288000
10133 NEBBIOLO CT,ELK GROVE,4,3,2096,Residential,289000
1103 COMMONS DR,SACRAMENTO,3,2,1720,Residential,290000
4636 TEAL BAY CT,ANTELOPE,4,2,2160,Residential,290000
1524 YOUNGS AVE,SACRAMENTO,4,2,1382,Residential,293996
865 CONRAD CT,PLACERVILLE,3,2,0,Residential,294000
8463 TERRACOTTA CT,ELK GROVE,4,2,1721,Residential,294173
5747 KING RD,LOOMIS,4,2,1328,Residential,295000
8253 KEEGAN WAY,ELK GROVE,0,0,0,Residential,298000
9204 TROUT WAY,ELK GROVE,4,2,1982,Residential,298000
1828 2ND AVE,SACRAMENTO,2,1,1144,Residential,299000
1113 COMMONS DR,SACRAMENTO,2,2,1623,Residential,300000
2341 BIG STRIKE TRL,COOL,3,2,1457,Residential,300000
9452 RED SPRUCE WAY,ELK GROVE,6,3,2555,Residential,300000
5776 TERRACE DR,ROCKLIN,3,2,1577,Residential,300567
5908 MCLEAN DR,ELK GROVE,5,3,2592,Residential,303000
8215 PEREGRINE WAY,CITRUS HEIGHTS,3,2,1401,Residential,305000
1104 HILLSDALE LN,LINCOLN,4,2,0,Residential,306000
2949 PANAMA AVE,CARMICHAEL,3,2,1502,Residential,310000
1356 HARTLEY WAY,FOLSOM,3,2,1327,Residential,310000
