street,city,beds,baths,sq__ft,type,price
167 VALLEY OAK DR,ROSEVILLE,2,2,1100,Condo,115000.0
7876 BURLINGTON WAY,SACRAMENTO,3,1,1174,Residential,127710.00000000001
3726 JONKO AVE,NORTH HIGHLANDS,3,2,1207,Residential,119250.0
7342 GIGI PL,SACRAMENTO,4,4,1995,Multi-Family,138000.0
2610 PHYLLIS AVE,SACRAMENTO,2,1,804,Residential,132000.0
4200 COMMERCE WAY Unit 711,SACRAMENTO,2,2,958,Condo,132000.0
4621 COUNTRY SCENE WAY,SACRAMENTO,3,2,1366,Residential,132118.80000000002
5380 VILLAGE WOOD DR,SACRAMENTO,2,2,901,Residential,133650.0
2621 EVERGREEN ST,SACRAMENTO,3,1,696,Residential,133897.5
201 CARLO CT,GALT,3,2,1080,Residential,122000.0
6743 21ST ST,SACRAMENTO,3,2,1104,Residential,135300.0
3128 VIA GRANDE,SACRAMENTO,2,1,972,Residential,137500.0
2847 BELGRADE WAY,SACRAMENTO,4,2,1390,Residential,138130.30000000002
7741 MILLDALE CIR,ELVERTA,4,2,1354,Residential,126714.0
9013 CASALS ST,SACRAMENTO,2,1,795,Condo,139656.0
227 MAHAN CT Unit 1,ROSEVILLE,2,1,780,Condo,127000.0
7349 FLETCHER FARM DR,SACRAMENTO,4,2,1587,Residential,140250.0
7226 LARCHMONT DR,NORTH HIGHLANDS,3,2,1209,Residential,130000.0
4114 35TH AVE,SACRAMENTO,2,1,1139,Residential,146415.5
617 M ST,RIO LINDA,2,2,1690,Residential,136500.0
7032 FAIR OAKS BLVD,CARMICHAEL,3,2,1245,Condo,139500.0
2421 SANTINA WAY,ELVERTA,3,2,1416,Residential,140000.0
2368 CRAIG AVE,SACRAMENTO,3,2,1300,Residential,154880.0
2123 AMANDA WAY,SACRAMENTO,3,2,1120,Residential,159500.0
7620 DARLA WAY,SACRAMENTO,4,2,1590,Residential,161700.0
8344 FIELDPOPPY CIR,SACRAMENTO,3,2,1407,Residential,164560.0
3624 20TH AVE,SACRAMENTO,5,2,1516,Residential,165000.0
10001 WOODCREEK OAKS BLVD Unit 1415,ROSEVILLE,2,2,0,Condo,150000.0
2848 PROVO WAY,SACRAMENTO,3,2,1646,Residential,165000.0
6045 EHRHARDT AVE,SACRAMENTO,3,2,1676,Residential,170500.0
1223 LAMBERTON CIR,SACRAMENTO,3,2,1370,Residential,170978.5
1223 LAMBERTON CIR,SACRAMENTO,3,2,1370,Residential,171050.0
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,4,2,1351,Residential,158000.0
7204 THOMAS DR,NORTH HIGHLANDS,3,2,1152,Residential,158000.0
8363 LANGTREE WAY,SACRAMENTO,3,2,1452,Residential,176000.0
1675 VERNON ST Unit 8,ROSEVILLE,2,1,990,Residential,160000.0
6632 IBEX WOODS CT,CITRUS HEIGHTS,2,2,1162,Residential,164000.0
117 EVCAR WAY,RIO LINDA,3,2,1182,Residential,164000.0
6485 LAGUNA MIRAGE LN,ELK GROVE,2,2,1112,Residential,165000.0
746 MOOSE CREEK WAY,GALT,3,2,1100,Residential,167000.0
8306 CURLEW CT,CITRUS HEIGHTS,4,2,1280,Residential,167293.0
8306 CURLEW CT,CITRUS HEIGHTS,4,2,1280,Residential,167293.0
5217 ARGO WAY,SACRAMENTO,3,1,1039,Residential,184800.00000000003
7108 HEATHER TREE DR,SACRAMENTO,3,2,1159,Residential,187000.00000000003
2956 DAVENPORT WAY,SACRAMENTO,4,2,1917,Residential,187000.00000000003
10062 LINCOLN VILLAGE DR,SACRAMENTO,3,2,1520,Residential,187000.00000000003
332 PALIN AVE,GALT,3,2,1204,Residential,174000.0
4649 FREEWAY CIR,SACRAMENTO,3,2,1120,Residential,195800.00000000003
8593 DERLIN WAY,SACRAMENTO,3,2,1436,Residential,198000.00000000003
9273 PREMIER WAY,SACRAMENTO,3,2,1451,Residential,198000.00000000003
8032 DUSENBERG CT,SACRAMENTO,4,2,1638,Residential,198000.00000000003
7110 STELLA LN Unit 15,CARMICHAEL,2,2,1000,Condo,182000.0
1786 PIEDMONT WAY,ROSEVILLE,3,1,1152,Residential,188325.0
1347 HIDALGO CIR,ROSEVILLE,3,2,1154,Residential,191500.0
212 CAPPUCINO WAY,SACRAMENTO,3,2,1353,Residential,211200.00000000003
5938 WOODBRIAR WAY,CITRUS HEIGHTS,3,2,1329,Residential,192700.0
3801 WILDROSE WAY,SACRAMENTO,3,1,1356,Residential,214500.00000000003
508 SAMUEL WAY,SACRAMENTO,3,2,1505,Residential,217419.40000000002
6128 CARL SANDBURG CIR,SACRAMENTO,3,1,1009,Residential,217800.00000000003
1 KENNELFORD CIR,SACRAMENTO,3,2,1144,Residential,220379.50000000003
909 SINGINGWOOD RD,SACRAMENTO,2,1,930,Residential,223300.00000000003
6671 FOXWOOD CT,SACRAMENTO,4,2,1766,Residential,227700.00000000003
8165 AYN RAND CT,SACRAMENTO,4,3,1940,Residential,228800.00000000003
9474 VILLAGE TREE DR,ELK GROVE,4,2,1776,Residential,210000.0
7213 CALVIN DR,CITRUS HEIGHTS,3,1,1258,Residential,212000.0
8167 DERBY PARK CT,SACRAMENTO,4,2,1872,Residential,235042.50000000003
6344 LAGUNA MIRAGE LN,ELK GROVE,2,2,1112,Residential,213697.0
2945 RED HAWK WAY,SACRAMENTO,4,2,1856,Residential,236500.00000000003
3228 I ST,SACRAMENTO,4,3,1939,Residential,236500.00000000003
308 ATKINSON ST,ROSEVILLE,3,1,998,Residential,215100.0
624 HOVEY WAY,ROSEVILLE,3,2,1758,Residential,217500.0
110 COPPER LEAF WAY,SACRAMENTO,3,2,2142,Residential,239800.00000000003
7535 ALMA VISTA WAY,SACRAMENTO,2,1,950,Residential,242000.00000000003
7423 WILSALL CT,ELK GROVE,4,3,1739,Residential,221000.0
8629 VIA ALTA WAY,ELK GROVE,3,2,1516,Residential,222900.0
3318 DAVIDSON DR,ANTELOPE,3,1,988,Residential,223139.0
913 COBDEN CT,GALT,4,2,1555,Residential,225500.0
4419 79TH ST,SACRAMENTO,3,2,1212,Residential,251159.7
3012 SPOONWOOD WAY,SACRAMENTO,4,2,1871,Residential,253000.00000000003
8728 CRYSTAL RIVER WAY,SACRAMENTO,3,2,1302,Residential,253000.00000000003
4709 AMBER LN Unit 1,SACRAMENTO,2,1,756,Condo,253574.2
4508 OLD DAIRY DR,ANTELOPE,4,3,2026,Residential,231200.0
312 RIVER ISLE WAY,SACRAMENTO,3,2,1375,Residential,255200.00000000003
301 OLIVADI WAY,SACRAMENTO,2,2,1250,Condo,255750.00000000003
5636 25TH ST,SACRAMENTO,3,1,1058,Residential,257005.10000000003
8721 SPRUCE RIDGE WAY,ANTELOPE,3,2,1187,Residential,234000.0
7461 WINDBRIDGE DR,SACRAMENTO,2,2,1324,Residential,257950.00000000003
8101 LEMON COVE CT,SACRAMENTO,4,3,1936,Residential,258500.00000000003
10949 SCOTSMAN WAY,RANCHO CORDOVA,5,4,2382,Multi-Family,236000.0
617 WILLOW CREEK DR,FOLSOM,3,2,1427,Residential,236073.0
3301 PARK DR Unit 1914,SACRAMENTO,3,2,1678,Condo,261800.00000000003
709 CIMMARON CT,GALT,4,2,1798,Residential,238861.0
3305 RIO ROCA CT,ANTELOPE,4,3,2652,Residential,239700.0
9080 BEDROCK CT,SACRAMENTO,4,2,1816,Residential,264000.0
100 TOURMALINE CIR,SACRAMENTO,5,3,3076,Residential,264000.0
6411 RED BIRCH WAY,ELK GROVE,4,2,1844,Residential,241000.0
4867 LAGUNA DR,SACRAMENTO,3,2,1306,Residential,269500.0
3662 RIVER DR,SACRAMENTO,4,3,2447,Residential,270600.0
6943 WOLFGRAM WAY,SACRAMENTO,4,2,1176,Residential,271957.4
77 RINETTI WAY,RIO LINDA,4,2,1182,Residential,247480.0
1316 I ST,RIO LINDA,3,1,1160,Residential,249862.0
2130 CATHERWOOD WAY,SACRAMENTO,3,2,1424,Residential,276100.0
8304 JUGLANS DR,ORANGEVALE,4,2,1574,Residential,252155.0
5308 MARBURY WAY,ANTELOPE,3,2,1830,Residential,254172.0
9182 LAKEMONT DR,ELK GROVE,4,2,1724,Residential,258000.0
2231 COUNTRY VILLA CT,AUBURN,2,2,1255,Condo,260000.0
8491 CRYSTAL WALK CIR,ELK GROVE,0,0,0,Residential,261000.0
361 MAHONIA CIR,SACRAMENTO,4,3,2175,Residential,287100.0
3427 LA CADENA WAY,SACRAMENTO,4,2,1904,Residential,287100.0
955 BIG SUR CT,EL DORADO HILLS,4,2,1808,Residential,262500.0
11826 DIONYSUS WAY,RANCHO CORDOVA,4,2,2711,Residential,266000.0
5847 DEL CAMPO LN,CARMICHAEL,3,1,1713,Residential,266000.0
5635 FOXVIEW WAY,ELK GROVE,3,2,1457,Residential,270000.0
10372 VIA CINTA CT,ELK GROVE,4,3,2724,Residential,274425.0
6286 LONETREE BLVD,ROCKLIN,0,0,0,Residential,274500.0
7744 SOUTHBREEZE DR,SACRAMENTO,3,2,1468,Residential,302869.60000000003
2242 ABLE WAY,SACRAMENTO,4,3,2550,Residential,305778.0
1042 STARBROOK DR,GALT,4,2,1928,Residential,280000.0
1219 G ST,SACRAMENTO,3,3,1922,Residential,313154.60000000003
6220 OPUS CT,CITRUS HEIGHTS,3,2,1343,Residential,284893.0
5419 HAVENHURST CIR,ROCKLIN,3,2,1510,Residential,285000.0
220 OLD AIRPORT RD,AUBURN,2,2,960,Multi-Family,285000.0
4622 MEYER WAY,CARMICHAEL,4,2,1559,Residential,285000.0
4885 SUMMIT VIEW DR,EL DORADO,3,2,1624,Residential,289000.0
26 JEANROSS CT,SACRAMENTO,5,3,2992,Residential,324500.0
4800 MAPLEPLAIN AVE,ELK GROVE,4,2,2109,Residential,296000.0
10629 BASIE WAY,RANCHO CORDOVA,4,2,1524,Residential,296056.0
8612 WILLOW GROVE WAY,SACRAMENTO,3,2,1248,Residential,327094.9
62 DE FER CIR,SACRAMENTO,4,2,1876,Residential,329934.0
2513 OLD KENMARE RD,LINCOLN,5,3,0,Residential,304000.0
3253 ABOTO WAY,RANCHO CORDOVA,4,3,1851,Residential,305000.0
3072 VILLAGE PLAZA DR,ROSEVILLE,0,0,0,Residential,307000.0
251 CHANGO CIR,SACRAMENTO,4,2,2218,Residential,342460.80000000005
8205 WEYBURN CT,SACRAMENTO,3,2,1394,Residential,344451.80000000005
8788 LA MARGARITA WAY,SACRAMENTO,3,2,1410,Residential,348293.0
5912 DEEPDALE WAY,ELK GROVE,5,3,3468,Residential,320000.0
4712 PISMO BEACH DR,ANTELOPE,5,3,2346,Residential,320000.0
4741 PACIFIC PARK DR,ANTELOPE,5,3,2347,Residential,325000.0
310 GROTH CIR,SACRAMENTO,4,2,1659,Residential,361435.80000000005
6121 WILD FOX CT,ELK GROVE,3,3,2442,Residential,331000.0
12241 CANYONLANDS DR,RANCHO CORDOVA,0,0,0,Residential,331500.0
29 COOL FOUNTAIN CT,SACRAMENTO,4,2,2155,Residential,374000.00000000006
907 RIO ROBLES AVE,SACRAMENTO,0,0,0,Residential,379230.50000000006
8909 BILLFISH WAY,SACRAMENTO,3,2,1810,Residential,380320.60000000003
6232 GUS WAY,ELK GROVE,4,2,2789,Residential,351000.0
200 OAKWILDE ST,GALT,4,2,1606,Residential,353767.0
1033 PARK STREAM DR,GALT,0,0,0,Residential,355000.0
200 ALLAIRE CIR,SACRAMENTO,4,2,2166,Residential,391638.50000000006
1322 SUTTER WALK,SACRAMENTO,0,0,0,Condo,396000.00000000006
5479 NICKMAN WAY,SACRAMENTO,4,2,1871,Residential,396607.2
2103 BURBERRY WAY,SACRAMENTO,3,2,1800,Residential,398535.50000000006
2450 SAN JOSE WAY,SACRAMENTO,3,1,1683,Residential,401500.00000000006
7641 ROSEHALL DR,ROSEVILLE,3,2,0,Residential,367554.0
1336 LAYSAN TEAL DR,ROSEVILLE,0,0,0,Residential,368500.0
2802 BLACK OAK DR,ROCKLIN,2,2,1596,Residential,370000.0
2113 FALL TRAIL CT,PLACERVILLE,4,2,0,Residential,371086.0
10112 LAMBEAU CT,ELK GROVE,3,2,1179,Residential,378000.0
6313 CASTRO VERDE WAY,ELK GROVE,0,0,0,Residential,383000.0
3622 CURTIS DR,SACRAMENTO,3,1,1639,Residential,426800.00000000006
11817 OPAL RIDGE WAY,RANCHO CORDOVA,5,3,3281,Residential,395100.0
170 LAGOMARSINO WAY,SACRAMENTO,3,2,1697,Residential,440000.00000000006
2743 DEAKIN PL,EL DORADO HILLS,3,2,0,Residential,400000.0
3361 ALDER CANYON WAY,ANTELOPE,4,3,2085,Residential,408431.0
2148 RANCH VIEW DR,ROCKLIN,0,0,0,Residential,413000.0
398 LINDLEY DR,SACRAMENTO,4,2,1744,Multi-Family,458443.7
3013 BRIDLEWOOD DR,EL DORADO HILLS,4,3,0,Residential,420000.0
169 BAURER CIR,FOLSOM,4,3,1939,Residential,423000.0
2809 LOON CT,CAMERON PARK,4,2,0,Residential,423000.0
1315 KONDOS AVE,SACRAMENTO,2,3,1788,Residential,470250.00000000006
4966 CHARTER RD,ROCKLIN,3,2,1691,Residential,430922.0
9516 LAGUNA LAKE WAY,ELK GROVE,4,2,2002,Residential,445000.0
5201 BLOSSOM RANCH DR,ELK GROVE,4,4,4303,Residential,450000.0
3027 PALMATE WAY,SACRAMENTO,5,3,4246,Residential,497200.00000000006
500 WINCHESTER CT,ROSEVILLE,3,2,2274,Residential,470000.0
5746 GELSTON WAY,EL DORADO HILLS,4,3,0,Residential,471000.0
6935 ELM TREE LN,ORANGEVALE,4,4,3056,Residential,475000.0
9605 GOLF COURSE LN,ELK GROVE,3,3,2503,Residential,484500.0
719 BAYWOOD CT,EL DORADO HILLS,5,3,0,Residential,487500.0
5954 TANUS CIR,ROCKLIN,3,3,0,Residential,488750.0
100 CHELSEA CT,FOLSOM,3,2,1905,Residential,500000.0
1500 ORANGE HILL LN,PENRYN,3,2,1320,Residential,506688.0
408 KIRKWOOD CT,LINCOLN,2,2,0,Residential,512000.0
1732 TUSCAN GROVE CIR,ROSEVILLE,5,3,0,Residential,520000.0
2049 EMPIRE MINE CIR,GOLD RIVER,4,2,3037,Residential,528000.0
9360 MAGOS RD,WILTON,5,2,3741,Residential,579093.0
104 CATLIN CT,FOLSOM,4,3,2660,Residential,636000.0
4734 GIBBONS DR,CARMICHAEL,4,3,3357,Residential,668365.0
4629 DORCHESTER LN,GRANITE BAY,5,3,2896,Residential,676200.0
2400 COUNTRYSIDE DR,PLACERVILLE,3,2,2025,Residential,677048.0
12901 FURLONG DR,WILTON,5,3,3788,Residential,691659.0
6222 CALLE MONTALVO CIR,GRANITE BAY,5,3,3670,Residential,760000.0
20 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
24 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
28 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
32 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
36 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
40 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
44 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
48 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
52 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
68 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
72 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
76 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
80 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
84 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
88 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
92 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
96 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
100 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
434 1ST ST,LINCOLN,0,0,0,Residential,4897.0
3 E ST,LINCOLN,0,0,0,Residential,4897.0
11 E ST,LINCOLN,0,0,0,Residential,4897.0
19 E ST,LINCOLN,0,0,0,Residential,4897.0
27 E ST,LINCOLN,0,0,0,Residential,4897.0
35 E ST,LINCOLN,0,0,0,Residential,4897.0
43 E ST,LINCOLN,0,0,0,Residential,4897.0
51 E ST,LINCOLN,4,2,0,Residential,4897.0
59 E ST,LINCOLN,3,2,0,Residential,4897.0
75 E ST,LINCOLN,3,2,0,Residential,4897.0
63 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
398 1ST ST,LINCOLN,0,0,0,Residential,4897.0
386 1ST ST,LINCOLN,0,0,0,Residential,4897.0
374 1ST ST,LINCOLN,0,0,0,Residential,4897.0
116 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897.0
108 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897.0
100 CRYSTALWOOD WAY,LINCOLN,0,0,0,Residential,4897.0
55 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
51 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
47 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
43 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
39 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
35 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
31 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
27 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
23 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
19 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
15 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
7 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
7 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
3 CRYSTALWOOD CIR,LINCOLN,0,0,0,Residential,4897.0
8208 WOODYARD WAY,CITRUS HEIGHTS,3,2,1166,Residential,30000.0
113 RINETTI WAY,RIO LINDA,0,0,0,Residential,30000.0
15 LOORZ CT,SACRAMENTO,2,1,838,Residential,60964.200000000004
5805 DOTMAR WAY,NORTH HIGHLANDS,2,1,904,Residential,63000.0
2332 CAMBRIDGE ST,SACRAMENTO,2,1,1032,Residential,71500.0
3812 BELDEN ST,SACRAMENTO,2,1,904,Residential,71500.0
3348 40TH ST,SACRAMENTO,2,1,1080,Residential,71500.0
127 QUASAR CIR,SACRAMENTO,2,2,990,Residential,73150.0
3812 CYPRESS ST,SACRAMENTO,2,1,900,Residential,78100.0
5821 64TH ST,SACRAMENTO,2,1,861,Residential,82500.0
8248 CENTER PKWY,SACRAMENTO,2,1,906,Condo,84700.0
1171 SONOMA AVE,SACRAMENTO,2,1,1011,Residential,93500.00000000001
4250 ARDWELL WAY,SACRAMENTO,3,2,1089,Residential,105187.50000000001
3104 CLAY ST,SACRAMENTO,2,1,832,Residential,105754.00000000001
6063 LAND PARK DR,SACRAMENTO,2,1,800,Condo,114675.00000000001
4738 OAKHOLLOW DR,SACRAMENTO,4,2,1292,Residential,115500.00000000001
1401 STERLING ST,SACRAMENTO,2,1,810,Residential,118800.00000000001
3715 DIDCOT CIR,SACRAMENTO,4,2,1064,Residential,119900.00000000001
2426 RASHAWN DR,RANCHO CORDOVA,2,1,911,Residential,115000.0
4800 WESTLAKE PKWY Unit 410,SACRAMENTO,1,1,846,Condo,126500.00000000001
3409 VIRGO ST,SACRAMENTO,3,2,1320,Residential,127050.00000000001
1110 PINEDALE AVE,SACRAMENTO,3,2,1410,Residential,127182.00000000001
2361 LA LOMA DR,RANCHO CORDOVA,3,2,1115,Residential,116000.0
1455 64TH AVE,SACRAMENTO,3,2,1169,Residential,134200.0
7328 SPRINGMAN ST,SACRAMENTO,3,2,1164,Residential,134750.0
119 SAINT MARIE CIR,SACRAMENTO,4,2,1341,Residential,135300.0
12 COSTA BRASE CT,SACRAMENTO,3,2,1219,Residential,136400.0
6813 SCOTER WAY,SACRAMENTO,4,2,1127,Residential,136400.0
6548 GRAYLOCK LN,NORTH HIGHLANDS,3,2,1272,Residential,124413.0
1630 GLIDDEN AVE,SACRAMENTO,4,2,1253,Residential,137500.0
7825 DALEWOODS WAY,SACRAMENTO,3,2,1120,Residential,143000.0
4073 TRESLER AVE,NORTH HIGHLANDS,2,2,1118,Residential,131750.0
4288 DYMIC WAY,SACRAMENTO,4,3,1890,Residential,151493.1
1158 SAN IGNACIO WAY,SACRAMENTO,3,2,1260,Residential,151536.0
4904 J PKWY,SACRAMENTO,3,2,1400,Residential,151800.0
2931 HOWE AVE,SACRAMENTO,3,1,1264,Residential,154000.0
5531 JANSEN DR,SACRAMENTO,3,1,1060,Residential,159500.0
7836 ORCHARD WOODS CIR,SACRAMENTO,2,2,1132,Residential,159500.0
4055 DEERBROOK DR,SACRAMENTO,3,2,1466,Residential,165000.0
9937 BURLINE ST,SACRAMENTO,3,2,1092,Residential,165000.0
6948 MIRADOR WAY,SACRAMENTO,4,2,1628,Residential,166100.0
4909 RUGER CT,SACRAMENTO,3,2,960,Residential,170500.0
7204 KERSTEN ST,CITRUS HEIGHTS,3,2,1075,Residential,155800.0
3150 ROSEMONT DR,SACRAMENTO,3,2,1428,Residential,171756.2
8200 STEINBECK WAY,SACRAMENTO,4,2,1358,Residential,173800.0
8198 STEVENSON AVE,SACRAMENTO,6,4,2475,Multi-Family,183885.0
6824 OLIVE TREE WAY,CITRUS HEIGHTS,3,2,1410,Residential,160000.0
3536 SUN MAIDEN WAY,ANTELOPE,3,2,1711,Residential,161500.0
4517 OLYMPIAD WAY,SACRAMENTO,4,2,1483,Residential,177760.0
925 COBDEN CT,GALT,3,2,1140,Residential,162000.0
8225 SCOTTSDALE DR,SACRAMENTO,4,2,1549,Residential,181500.00000000003
8758 LEMAS RD,SACRAMENTO,3,2,1410,Residential,181500.00000000003
6121 ALPINESPRING WAY,ELK GROVE,3,2,1240,Residential,167293.0
5937 YORK GLEN WAY,SACRAMENTO,5,2,1712,Residential,184800.00000000003
6417 SUNNYFIELD WAY,SACRAMENTO,4,2,1580,Residential,184800.00000000003
4008 GREY LIVERY WAY,ANTELOPE,3,2,1669,Residential,168750.0
8920 ROSETTA CIR,SACRAMENTO,3,1,1029,Residential,185625.00000000003
8300 LICHEN DR,CITRUS HEIGHTS,3,1,1103,Residential,170000.0
8884 AMBERJACK WAY,SACRAMENTO,3,2,2161,Residential,187275.00000000003
4480 VALLEY HI DR,SACRAMENTO,3,2,1650,Residential,190300.00000000003
2250 FOREBAY RD,POLLOCK PINES,3,1,1320,Residential,175000.0
3529 FABERGE WAY,SACRAMENTO,3,2,1200,Residential,193704.50000000003
1792 DAWNELLE WAY,SACRAMENTO,3,2,1170,Residential,193875.00000000003
7800 TABARE CT,CITRUS HEIGHTS,3,2,1199,Residential,178000.0
8531 HERMITAGE WAY,SACRAMENTO,4,2,1695,Residential,196900.00000000003
2421 BERRYWOOD DR,RANCHO CORDOVA,3,2,1157,Residential,180000.0
1005 MORENO WAY,SACRAMENTO,3,2,1410,Residential,198000.00000000003
1675 VERNON ST Unit 24,ROSEVILLE,3,2,1174,Residential,180000.0
24 WINDCHIME CT,SACRAMENTO,3,2,1593,Residential,199100.00000000003
540 HARLING CT,RIO LINDA,3,2,1093,Residential,182000.0
1207 CRESCENDO DR,ROSEVILLE,3,2,1770,Residential,182587.0
7577 EDDYLEE WAY,SACRAMENTO,4,2,1436,Residential,203581.40000000002
8369 FOPPIANO WAY,SACRAMENTO,3,2,1124,Residential,204416.30000000002
8817 SAWTELLE WAY,SACRAMENTO,4,2,1139,Residential,205463.50000000003
1910 BONAVISTA WAY,SACRAMENTO,3,2,1638,Residential,205700.00000000003
8 TIDE CT,SACRAMENTO,3,2,1328,Residential,207168.50000000003
8952 ROCKY CREEK CT,ELK GROVE,3,2,1273,Residential,190000.0
435 EXCHANGE ST,SACRAMENTO,3,1,1082,Residential,209000.00000000003
10105 MONTE VALLO CT,SACRAMENTO,4,2,1578,Residential,209000.00000000003
3930 ANNABELLE AVE,ROSEVILLE,2,1,796,Residential,190000.0
4854 TANGERINE AVE,SACRAMENTO,3,2,1386,Residential,210375.00000000003
2909 SHAWN WAY,RANCHO CORDOVA,3,2,1452,Residential,193000.0
4290 BLACKFORD WAY,SACRAMENTO,3,2,1513,Residential,212850.00000000003
5890 TT TRAK,FORESTHILL,0,0,0,Residential,194818.0
7015 WOODSIDE DR,SACRAMENTO,4,2,1578,Residential,214500.00000000003
6019 CHESHIRE WAY,CITRUS HEIGHTS,4,3,1736,Residential,195000.0
3330 VILLAGE CT,CAMERON PARK,2,2,0,Residential,195000.0
2561 VERNA WAY,SACRAMENTO,3,1,1473,Residential,214500.00000000003
3522 22ND AVE,SACRAMENTO,3,1,1150,Residential,217800.00000000003
2880 CANDIDO DR,SACRAMENTO,3,2,1127,Residential,219890.00000000003
6908 PIN OAK CT,FAIR OAKS,3,1,1144,Residential,200000.0
5733 ANGELINA AVE,CARMICHAEL,3,1,972,Residential,201000.0
7849 BONNY DOWNS WAY,ELK GROVE,4,2,2306,Residential,204918.0
8716 LONGSPUR WAY,ANTELOPE,3,2,1479,Residential,205000.0
6320 EL DORADO ST,EL DORADO,2,1,1040,Residential,205000.0
2328 DOROTHY JUNE WAY,SACRAMENTO,3,2,1430,Residential,226465.80000000002
1986 DANVERS WAY,SACRAMENTO,4,2,1800,Residential,227700.00000000003
7901 GAZELLE TRAIL WAY,ANTELOPE,4,2,1953,Residential,207744.0
6080 BRIDGECROSS DR,SACRAMENTO,3,2,1120,Residential,229900.00000000003
20 GROTH CIR,SACRAMENTO,3,2,1232,Residential,231000.00000000003
1900 DANBROOK DR,SACRAMENTO,1,1,984,Condo,232038.40000000002
140 VENTO CT,ROSEVILLE,3,2,0,Condo,212500.0
8442 KEUSMAN ST,ELK GROVE,4,2,2329,Residential,213750.0
9552 SUNLIGHT LN,ELK GROVE,3,2,1351,Residential,215000.0
2733 YUMA CT,CAMERON PARK,2,2,0,Residential,215000.0
1407 TIFFANY CIR,ROSEVILLE,4,1,1376,Residential,215000.0
636 CRESTVIEW DR,DIAMOND SPRINGS,3,2,1300,Residential,216033.0
1528 HESKET WAY,SACRAMENTO,4,2,1566,Residential,242000.00000000003
2327 32ND ST,SACRAMENTO,2,1,1115,Residential,242000.00000000003
1833 2ND AVE,SACRAMENTO,2,1,1032,Residential,242000.00000000003
7252 CARRIAGE DR,CITRUS HEIGHTS,4,2,1419,Residential,220000.0
9815 PASO FINO WAY,ELK GROVE,3,2,1261,Residential,220000.0
5532 ENGLE RD,CARMICHAEL,2,2,1637,Residential,220702.0
1139 CLINTON RD,SACRAMENTO,4,2,1776,Multi-Family,243375.00000000003
9176 SAGE GLEN WAY,ELK GROVE,3,2,1338,Residential,222000.0
9967 HATHERTON WAY,ELK GROVE,0,0,0,Residential,222500.0
9264 BOULDER RIVER WAY,ELK GROVE,5,2,2254,Residential,222750.0
320 GROTH CIR,SACRAMENTO,3,2,1441,Residential,247500.00000000003
137 GUNNISON AVE,SACRAMENTO,4,2,1991,Residential,247500.00000000003
8209 RIVALLO WAY,SACRAMENTO,4,3,2126,Residential,251625.00000000003
8637 PERIWINKLE CIR,ELK GROVE,3,2,1094,Residential,229000.0
3425 MEADOW WAY,ROCKLIN,3,2,1462,Residential,230095.0
107 JARVIS CIR,SACRAMENTO,5,3,2258,Residential,255750.00000000003
2319 THORES ST,RANCHO CORDOVA,3,2,1074,Residential,233000.0
8935 MOUNTAIN HOME CT,ELK GROVE,4,2,2111,Residential,233500.0
